time,temperature
2024-01-01T00:28:46,69
2024-01-01T02:58:53,43
2024-01-01T00:08:54,90
2024-01-01T03:45:28,99
2024-01-01T03:56:34,83
2024-01-01T02:08:49,7
2024-01-01T00:59:02,93
2024-01-01T03:57:49,83
2024-01-01T00:12:07,92
2024-01-01T03:20:41,36
2024-01-01T04:00:44,79
2024-01-01T00:13:12,2
2024-01-01T00:05:48,81
2024-01-01T01:30:52,27
2024-01-01T02:22:49,80
2024-01-01T01:00:02,19
2024-01-01T02:24:31,31
2024-01-01T03:14:11,82
2024-01-01T02:40:05,52
2024-01-01T01:23:28,6
2024-01-01T01:39:01,31
2024-01-01T00:16:55,22
2024-01-01T01:15:08,100
2024-01-01T02:23:05,89
2024-01-01T03:53:57,17
2024-01-01T02:09:53,36
2024-01-01T01:22:34,11
2024-01-01T01:47:45,7
2024-01-01T01:58:35,55
2024-01-01T00:37:12,85
2024-01-01T02:03:25,81
2024-01-01T02:34:28,93
2024-01-01T03:57:43,18
2024-01-01T03:23:24,94
2024-01-01T00:15:16,31
2024-01-01T00:43:27,83
2024-01-01T03:08:00,59
2024-01-01T03:46:23,18
2024-01-01T01:05:09,27
2024-01-01T01:42:16,93
2024-01-01T02:36:25,93
2024-01-01T00:35:15,10
2024-01-01T04:05:46,98
2024-01-01T02:48:12,6
2024-01-01T01:32:13,80
2024-01-01T03:51:37,17
2024-01-01T03:06:33,33
2024-01-01T00:41:32,31
2024-01-01T01:35:06,42
2024-01-01T00:39:14,38
2024-01-01T04:07:16,67
2024-01-01T02:20:29,10
2024-01-01T02:52:38,96
2024-01-01T01:17:42,84
2024-01-01T03:16:40,33
2024-01-01T02:33:09,81
2024-01-01T03:35:29,23
2024-01-01T03:23:59,45
2024-01-01T04:07:12,42
2024-01-01T01:14:31,26
2024-01-01T00:05:51,82
2024-01-01T01:47:46,61
2024-01-01T01:18:49,46
2024-01-01T00:12:45,78
2024-01-01T02:35:37,54
2024-01-01T01:59:14,59
2024-01-01T02:09:48,23
2024-01-01T03:58:18,56
2024-01-01T01:16:20,50
2024-01-01T02:21:40,68
2024-01-01T04:05:33,12
2024-01-01T03:58:05,9
2024-01-01T01:17:27,51
2024-01-01T01:33:47,94
2024-01-01T02:09:57,26
2024-01-01T01:01:48,95
2024-01-01T01:14:42,51
2024-01-01T02:32:24,31
2024-01-01T03:37:44,82
2024-01-01T00:43:35,63
2024-01-01T02:12:22,65
2024-01-01T00:26:26,22
2024-01-01T01:38:26,3
2024-01-01T00:30:03,97
2024-01-01T03:47:56,97
2024-01-01T01:55:23,66
2024-01-01T01:11:50,38
2024-01-01T03:18:06,22
2024-01-01T01:10:25,18
2024-01-01T03:47:44,3
2024-01-01T03:33:49,2
2024-01-01T01:24:42,14
2024-01-01T01:25:22,75
2024-01-01T00:51:21,79
2024-01-01T00:34:23,50
2024-01-01T00:58:41,23
2024-01-01T01:14:48,21
2024-01-01T00:59:12,7
2024-01-01T02:37:39,44
2024-01-01T01:28:11,28
2024-01-01T00:22:53,84
2024-01-01T01:27:04,26
2024-01-01T03:30:29,85
2024-01-01T02:39:08,92
2024-01-01T03:53:26,92
2024-01-01T01:58:26,42
2024-01-01T00:08:20,59
2024-01-01T01:02:05,45
2024-01-01T02:52:02,51
2024-01-01T00:38:33,29
2024-01-01T01:16:33,88
2024-01-01T03:17:32,59
2024-01-01T03:01:42,69
2024-01-01T04:09:56,64
2024-01-01T00:38:31,12
2024-01-01T01:36:44,44
2024-01-01T00:54:26,55
2024-01-01T03:38:38,23
2024-01-01T03:19:40,7
2024-01-01T03:39:51,48
2024-01-01T00:45:30,97
2024-01-01T01:11:13,15
2024-01-01T02:24:40,1
2024-01-01T03:14:27,40
2024-01-01T02:10:48,56
2024-01-01T01:16:01,2
2024-01-01T03:25:27,95
2024-01-01T00:28:00,54
2024-01-01T00:33:08,94
2024-01-01T02:39:17,79
2024-01-01T02:38:58,96
2024-01-01T00:42:25,87
2024-01-01T03:55:51,69
2024-01-01T03:06:43,74
2024-01-01T02:58:25,95
2024-01-01T03:13:19,20
2024-01-01T00:23:59,74
2024-01-01T01:29:24,35
2024-01-01T02:29:39,76
2024-01-01T01:59:48,15
2024-01-01T04:04:09,70
2024-01-01T00:09:27,14
2024-01-01T00:30:17,100
2024-01-01T02:15:02,1
2024-01-01T03:49:43,3
2024-01-01T03:49:55,67
2024-01-01T03:59:16,33
2024-01-01T01:56:22,91
2024-01-01T01:40:45,83
2024-01-01T00:09:20,64
2024-01-01T00:12:39,99
2024-01-01T01:02:04,47
2024-01-01T01:20:17,61
2024-01-01T03:13:33,52
2024-01-01T03:13:43,41
2024-01-01T03:24:12,63
2024-01-01T02:47:25,95
2024-01-01T00:19:09,89
2024-01-01T03:18:58,81
2024-01-01T00:53:01,48
2024-01-01T01:37:16,45
2024-01-01T01:56:16,27
2024-01-01T02:31:03,43
2024-01-01T02:30:28,41
2024-01-01T02:32:58,21
2024-01-01T00:02:46,92
2024-01-01T02:58:42,81
2024-01-01T03:43:53,67
2024-01-01T03:08:16,85
2024-01-01T02:25:52,88
2024-01-01T03:50:56,38
2024-01-01T03:51:25,15
2024-01-01T03:14:55,35
2024-01-01T00:43:37,26
2024-01-01T03:56:16,95
2024-01-01T03:33:00,27
2024-01-01T04:07:14,4
2024-01-01T00:50:30,10
2024-01-01T02:08:43,84
2024-01-01T00:10:22,30
2024-01-01T04:06:27,82
2024-01-01T01:20:27,38
2024-01-01T02:00:30,57
2024-01-01T02:13:13,4
2024-01-01T01:46:25,57
2024-01-01T02:16:34,56
